SIMPLE                           ,                     3301naoki,                     Aaron-GMM,                     Arthur32p,                 Blackberry216,                      Brieloki,                Daniel-jacodev,                   DevJLucasTM,               DevJulioEmanuel,                 EstherAzevedo,                GerasDeveloper,                    Henriwi-MS,                   JessLim2003,                     KauaLemos,                    KpSantiago,                     Luishma34,                   Pri-Holanda,               RafaelSantosS12,                   Ricardolg11,           SabrinaDamascenoDev,                        Sinh-0,               Temporary95Name,                Vitoria-Rabelo,                Wallisonnobrex,                        alvwsk,                  atilacalisto,                      caduteix,                ceciliaabintes,                     eduspicod,                       evyhdev,                  gabreidiasvl,             jardesonmagalhaes,                     joAo-dav1,                     mateus124,               narciso-roberto,                     rgcastrof,                    ruan-raujo,                      vistomia
=:1:revisão-fup==================,                           118,                           132,                           129,                           095,                           116,                           125,                           074,                           129,                           103,                           080,                           075,                           118,                           062,                           108,                           133,                           116,                           061,                           114,                           132,                           073,                           000,                           126,                           000,                           117,                           129,                           061,                           083,                           106,                           103,                           094,                           113,                           118,                           129,                           129,                           090,                           103,                           121
+:1:pintando                     ,100% 45how 037m 017/008ex 082%,100% 65how 131m 087/036ex 100%,100% 55how 024m 013/005ex 096%,100% 65how 036m 020/010ex 100%,000% 65how 024m 019/009ex 000%,100% 55how 032m 014/007ex 096%,100% 55how 008m 006/003ex 096%,100% 55how 061m 022/011ex 096%,100% 55how 016m 002/001ex 096%,000% 65how 067m 033/013ex 000%,100% 65how 052m 024/012ex 100%,100% 55how 080m 023/007ex 096%,100% 45how 016m 012/006ex 082%,100% 54how 091m 058/029ex 096%,100% 65how 046m 013/005ex 100%,100% 65how 072m 018/009ex 100%,100% 44how 087m 032/016ex 082%,100% 65how 287m 106/053ex 100%,100% 65how 105m 035/017ex 100%,100% 54how 138m 082/003ex 096%,000% 00how 352m 186/084ex 000%,100% 65how 051m 022/011ex 100%,000% 00how 021m 012/006ex 000%,100% 44how 036m 014/007ex 082%,100% 54how 021m 010/005ex 096%,100% 43how 029m 041/021ex 045%,100% 54how 137m 054/027ex 096%,100% 55how 225m 060/029ex 096%,100% 55how 049m 012/006ex 096%,100% 55how 016m 014/006ex 096%,100% 55how 013m 032/016ex 096%,100% 55how 047m 036/018ex 096%,100% 55how 038m 012/006ex 096%,100% 55how 122m 044/022ex 096%,100% 45how 060m 033/016ex 082%,100% 45how 288m 032/016ex 082%,100% 45how 066m 079/038ex 082%
+:2:mumia                        ,100% 55how 083m 016/008ex 096%,100% 65how 036m 018/009ex 100%,100% 55how 008m 009/004ex 096%,100% 44how 053m 024/012ex 082%,100% 55how 096m 057/023ex 096%,100% 55how 041m 058/029ex 096%,100% 55how 005m 004/002ex 096%,100% 55how 012m 006/003ex 096%,100% 55how 034m 004/002ex 096%,100% 55how 044m 036/018ex 096%,100% 65how 014m 010/005ex 100%,100% 55how 070m 012/006ex 096%,100% 45how 056m 016/008ex 082%,100% 55how 010m 006/003ex 096%,100% 65how 011m 008/004ex 100%,100% 55how 058m 042/021ex 096%,100% 44how 078m 032/016ex 082%,100% 54how 061m 026/013ex 096%,100% 65how 092m 056/026ex 100%,100% 54how 097m 064/003ex 096%,000% 00how 016m 026/013ex 000%,100% 65how 043m 048/024ex 100%,                           ---,100% 45how 025m 006/003ex 082%,100% 54how 043m 030/015ex 096%,100% 54how 063m 012/006ex 096%,100% 44how 064m 016/008ex 082%,100% 55how 065m 029/014ex 096%,100% 45how 069m 016/008ex 082%,100% 55how 044m 019/009ex 096%,100% 55how 020m 023/012ex 096%,100% 55how 211m 047/023ex 096%,100% 55how 035m 018/009ex 096%,100% 55how 003m 006/003ex 096%,100% 55how 011m 008/004ex 096%,100% 55how 092m 018/009ex 096%,100% 65how 012m 028/014ex 100%
+:2:fuga                         ,100% 65how 031m 010/005ex 100%,100% 65how 220m 077/028ex 100%,100% 55how 019m 006/003ex 096%,100% 65how 083m 064/032ex 100%,100% 54how 046m 016/008ex 096%,100% 55how 050m 026/013ex 096%,100% 45how 019m 012/006ex 082%,100% 55how 028m 018/009ex 096%,100% 35how 055m 010/005ex 082%,100% 55how 060m 008/004ex 096%,100% 65how 066m 012/006ex 100%,100% 44how 050m 008/004ex 082%,100% 44how 216m 056/028ex 082%,100% 55how 001m 002/001ex 096%,100% 65how 010m 004/002ex 100%,100% 55how 180m 068/034ex 096%,100% 45how 097m 028/014ex 082%,100% 44how 147m 078/039ex 082%,100% 55how 120m 066/033ex 096%,100% 54how 037m 024/012ex 096%,000% 00how 059m 006/003ex 000%,100% 65how 094m 023/011ex 100%,                           ---,100% 55how 050m 024/012ex 096%,100% 55how 011m 002/001ex 096%,100% 44how 029m 004/002ex 082%,100% 54how 033m 044/022ex 096%,100% 44how 266m 065/032ex 082%,100% 35how 092m 044/022ex 082%,100% 54how 044m 009/004ex 096%,100% 45how 017m 017/009ex 082%,100% 55how 061m 022/011ex 096%,100% 55how 028m 014/007ex 096%,100% 55how 010m 010/005ex 096%,100% 55how 048m 004/002ex 096%,100% 45how 031m 006/003ex 082%,100% 65how 006m 008/004ex 100%
+:2:pedra                        ,100% 65how 023m 020/010ex 100%,100% 55how 175m 060/030ex 096%,100% 55how 044m 015/007ex 096%,100% 65how 222m 064/024ex 100%,100% 55how 023m 006/003ex 096%,100% 55how 205m 056/028ex 096%,090% 45how 004m 002/001ex 070%,100% 55how 025m 008/004ex 096%,100% 35how 060m 006/003ex 082%,100% 44how 041m 006/003ex 082%,100% 65how 010m 016/008ex 100%,100% 44how 064m 006/003ex 082%,100% 45how 148m 066/033ex 082%,100% 55how 072m 020/010ex 096%,100% 65how 027m 003/002ex 100%,100% 55how 204m 050/025ex 096%,100% 55how 072m 032/016ex 096%,100% 44how 049m 018/009ex 082%,100% 55how 206m 068/034ex 096%,100% 54how 081m 030/015ex 096%,000% 00how 017m 008/004ex 000%,070% 55how 241m 132/066ex 066%,                           ---,100% 45how 068m 016/008ex 082%,100% 54how 025m 004/002ex 096%,100% 45how 082m 006/003ex 082%,100% 44how 029m 006/003ex 082%,100% 44how 203m 065/032ex 082%,100% 54how 217m 042/021ex 096%,100% 44how 037m 007/003ex 082%,100% 44how 029m 024/012ex 082%,100% 55how 089m 020/010ex 096%,100% 55how 087m 014/007ex 096%,100% 55how 050m 030/015ex 096%,100% 22how 030m 032/016ex 012%,100% 45how 030m 004/002ex 082%,100% 55how 127m 054/027ex 096%
+:2:casais                       ,100% 44how 127m 032/016ex 082%,100% 55how 162m 048/024ex 096%,100% 55how 038m 009/004ex 096%,100% 64how 069m 028/014ex 096%,090% 55how 029m 031/013ex 092%,100% 65how 056m 028/014ex 100%,090% 45how 002m 004/002ex 070%,100% 55how 041m 012/006ex 096%,100% 55how 036m 006/003ex 096%,100% 45how 030m 012/006ex 082%,100% 65how 039m 012/006ex 100%,100% 44how 034m 004/002ex 082%,100% 44how 172m 026/013ex 082%,100% 55how 037m 012/006ex 096%,100% 65how 026m 002/001ex 100%,100% 55how 153m 066/033ex 096%,100% 23how 062m 012/006ex 045%,100% 44how 147m 098/049ex 082%,100% 65how 080m 032/016ex 100%,100% 54how 042m 011/005ex 096%,000% 00how 114m 044/022ex 000%,100% 55how 070m 033/016ex 096%,                           ---,100% 45how 048m 020/010ex 082%,100% 55how 042m 004/002ex 096%,100% 44how 049m 004/002ex 082%,100% 23how 076m 080/040ex 045%,100% 54how 146m 042/021ex 096%,100% 55how 027m 012/006ex 096%,100% 45how 055m 031/015ex 082%,100% 45how 004m 012/006ex 082%,100% 45how 076m 032/016ex 082%,100% 55how 073m 022/011ex 096%,100% 55how 001m 006/003ex 096%,100% 24how 032m 012/006ex 082%,100% 25how 012m 006/003ex 082%,100% 45how 073m 060/030ex 082%
+:3:baruel                       ,100% 44how 022m 016/008ex 082%,100% 65how 318m 058/029ex 100%,100% 54how 124m 070/035ex 096%,100% 55how 246m 082/041ex 096%,100% 45how 022m 007/003ex 082%,100% 65how 065m 052/026ex 100%,080% 23how 003m 004/002ex 022%,100% 55how 104m 016/008ex 096%,100% 44how 095m 038/019ex 082%,100% 34how 033m 018/009ex 082%,000% 00how 000m 000/000ex 000%,100% 44how 100m 018/009ex 082%,000% 00how 183m 048/024ex 000%,100% 45how 212m 044/022ex 082%,100% 65how 060m 003/001ex 100%,100% 43how 177m 060/030ex 045%,100% 22how 079m 024/012ex 012%,100% 34how 116m 054/027ex 082%,100% 65how 212m 140/066ex 100%,000% 54how 060m 032/016ex 000%,000% 00how 058m 015/007ex 000%,100% 65how 288m 180/090ex 100%,                           ---,100% 45how 152m 044/022ex 082%,100% 54how 039m 002/001ex 096%,000% 00how 032m 014/013ex 000%,100% 55how 002m 002/001ex 096%,100% 33how 063m 034/017ex 045%,100% 34how 033m 016/008ex 082%,100% 23how 120m 067/033ex 045%,100% 35how 027m 044/022ex 082%,100% 45how 127m 032/016ex 082%,100% 55how 107m 022/011ex 096%,100% 55how 110m 116/058ex 096%,100% 42how 252m 164/081ex 012%,100% 23how 018m 008/004ex 045%,100% 55how 065m 062/031ex 096%
*:4:gomos                        ,100% 44how 060m 006/003ex 082%,100% 65how 137m 022/011ex 100%,100% 54how 050m 035/017ex 096%,000% 00how 188m 006/003ex 000%,100% 55how 047m 037/018ex 096%,100% 35how 013m 022/011ex 082%,080% 23how 004m 004/002ex 022%,100% 55how 050m 006/003ex 096%,100% 33how 045m 004/002ex 045%,000% 65how 044m 040/020ex 000%,                           ---,100% 54how 068m 028/014ex 096%,000% 00how 000m 000/000ex 000%,100% 43how 154m 090/045ex 045%,100% 65how 046m 015/007ex 100%,100% 55how 135m 028/014ex 096%,                           ---,100% 34how 022m 012/006ex 082%,100% 65how 180m 056/028ex 100%,000% 54how 063m 023/010ex 000%,                           ---,100% 55how 071m 031/015ex 096%,                           ---,100% 55how 031m 010/005ex 096%,100% 54how 060m 008/004ex 096%,000% 00how 009m 008/006ex 000%,                           ---,100% 34how 020m 039/019ex 082%,100% 33how 003m 024/012ex 045%,100% 23how 035m 006/003ex 045%,100% 45how 004m 017/009ex 082%,100% 45how 099m 024/012ex 082%,100% 55how 041m 010/005ex 096%,100% 55how 137m 132/066ex 096%,100% 55how 292m 135/067ex 096%,100% 35how 006m 004/002ex 082%,100% 45how 075m 044/022ex 082%
=:1:análise-otimizando-resoluções,                           097,                           106,                           095,                           082,                           078,                           065,                           033,                           077,                           073,                           102,                           045,                           123,                           019,                           082,                           116,                           116,                           050,                           087,                           106,                           064,                           000,                           098,                           000,                           079,                           026,                           082,                           027,                           085,                           065,                           035,                           100,                           099,                           096,                           091,                           030,                           080,                           092
+:2:analise                      ,100% 65how 000m 000/000ex 100%,                           ---,100% 00how 000m 000/000ex 000%,                           ---,100% 65how 001m 000/000ex 100%,100% 55how 000m 000/000ex 096%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,000% 00how 000m 000/000ex 000%,090% 65how 000m 000/000ex 099%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,100% 54how 000m 000/000ex 096%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 54how 000m 000/000ex 096%,100% 55how 000m 000/000ex 096%,100% 54how 001m 000/000ex 096%,100% 65how 000m 000/000ex 100%,100% 60how 006m 000/000ex 000%,100% 65how 000m 000/000ex 100%,100% 55how 000m 000/000ex 096%,100% 55how 000m 000/000ex 096%
