SIMPLE                                            ,               Beeatriz-Castro,               CarlaCristinaSA,                 ClidenorFilho,                 Douglas-glith,              EduardoAlmeida10,               Emilly-Pinheiro,                     GuibasURL,               HenriqueSenaDev,                        JGCL24,                 Joao-Vitor-Rd,                 KeltonMartins,              Layssaoliveira26,                       Lipez-x,         Paulo-Sergio-Oliveira,                 Randson-Silva,                     TobiasTac,                     Victorbvc,                      abebuh21,                  alvesmaarcos,                     anaradlei,                 annabeatryz31,                 cauanrricardo,              davyanastaciodev,                     dsfacundo,               eduardaffreitas,                  fco-henrique,                gabrielrbsousa,                      harielfr,                higormcarnauba,                   jppiauilino,                   kawantorres,                kaylannesatiro,              lizandrapinheiro,                         mczm9,                   pamellaneco,                  rudriguu2099
=:1:revisão-fup===================================,                           119,                           022,                           088,                           053,                           117,                           129,                           097,                           123,                           111,                           124,                           120,                           124,                           122,                           133,                           129,                           129,                           094,                           069,                           112,                           064,                           075,                           112,                           000,                           130,                           063,                           125,                           021,                           087,                           113,                           112,                           053,                           072,                           129,                           095,                           110,                           092
+:1:pintando                                      ,100% 55how 162m 043/017ex 096%,100% 55how 125m 028/000ex 096%,100% 55how 048m 025/011ex 096%,100% 34how 030m 020/010ex 082%,100% 45how 021m 024/012ex 082%,100% 65how 233m 036/018ex 100%,100% 55how 084m 111/050ex 096%,100% 55how 040m 018/009ex 096%,100% 55how 053m 059/025ex 096%,100% 55how 012m 013/006ex 096%,100% 45how 051m 032/016ex 082%,100% 55how 031m 017/007ex 096%,100% 55how 030m 017/007ex 096%,100% 65how 043m 038/019ex 100%,100% 55how 065m 019/010ex 096%,100% 55how 161m 100/047ex 096%,100% 55how 074m 014/001ex 096%,100% 65how 200m 068/011ex 100%,100% 45how 032m 009/003ex 082%,100% 55how 119m 057/000ex 096%,100% 45how 021m 020/010ex 082%,100% 45how 037m 011/004ex 082%,000% 00how 008m 006/000ex 000%,100% 55how 060m 017/004ex 096%,100% 55how 052m 018/006ex 096%,100% 55how 038m 021/009ex 096%,100% 24how 021m 015/003ex 082%,100% 44how 049m 004/002ex 082%,100% 65how 105m 028/014ex 100%,100% 45how 090m 029/008ex 082%,100% 45how 061m 024/006ex 082%,100% 55how 104m 023/002ex 096%,100% 55how 040m 028/014ex 096%,100% 65how 071m 013/005ex 100%,100% 45how 037m 004/002ex 082%,100% 65how 012m 010/005ex 100%
+:2:mumia                                         ,100% 55how 044m 025/011ex 096%,                           ---,100% 55how 007m 008/004ex 096%,100% 55how 012m 010/005ex 096%,100% 55how 029m 024/012ex 096%,100% 65how 045m 012/006ex 100%,100% 55how 033m 016/008ex 096%,100% 55how 007m 010/005ex 096%,100% 55how 056m 028/014ex 096%,100% 55how 019m 006/003ex 096%,100% 55how 038m 014/007ex 096%,100% 55how 017m 008/004ex 096%,100% 55how 021m 014/007ex 096%,100% 65how 016m 017/008ex 100%,100% 55how 010m 006/003ex 096%,100% 55how 091m 022/011ex 096%,100% 55how 001m 004/002ex 096%,100% 54how 047m 008/004ex 096%,100% 55how 020m 004/002ex 096%,100% 55how 175m 026/000ex 096%,100% 55how 010m 010/005ex 096%,100% 55how 026m 006/003ex 096%,000% 00how 000m 000/000ex 000%,100% 55how 011m 004/002ex 096%,100% 45how 034m 017/007ex 082%,100% 55how 015m 010/005ex 096%,100% 25how 022m 012/006ex 082%,100% 44how 026m 016/008ex 082%,100% 65how 036m 040/020ex 100%,100% 45how 038m 008/004ex 082%,100% 45how 011m 008/004ex 082%,100% 55how 029m 032/016ex 096%,100% 55how 024m 018/009ex 096%,100% 65how 084m 018/009ex 100%,100% 45how 048m 004/002ex 082%,100% 65how 011m 012/006ex 100%
+:2:fuga                                          ,100% 55how 070m 060/030ex 096%,000% 00how 000m 000/000ex 000%,100% 55how 053m 026/013ex 096%,100% 55how 034m 024/012ex 096%,100% 45how 172m 074/037ex 082%,100% 55how 070m 020/010ex 096%,100% 55how 064m 020/010ex 096%,100% 55how 034m 004/002ex 096%,100% 55how 024m 028/014ex 096%,100% 55how 103m 036/018ex 096%,100% 55how 095m 020/010ex 096%,100% 55how 172m 032/016ex 096%,100% 45how 099m 039/018ex 082%,100% 65how 017m 021/011ex 100%,100% 55how 024m 018/011ex 096%,100% 55how 056m 028/014ex 096%,100% 23how 068m 006/003ex 045%,100% 43how 066m 010/005ex 045%,100% 45how 075m 018/009ex 082%,100% 34how 135m 010/005ex 082%,100% 44how 012m 008/004ex 082%,100% 44how 236m 024/012ex 082%,000% 00how 000m 000/000ex 000%,100% 55how 040m 028/014ex 096%,100% 45how 032m 018/009ex 082%,100% 55how 032m 008/004ex 096%,000% 00how 041m 012/006ex 000%,100% 55how 071m 024/012ex 096%,100% 64how 046m 008/004ex 096%,100% 25how 063m 006/003ex 082%,100% 55how 063m 022/011ex 096%,100% 55how 024m 008/004ex 096%,100% 55how 017m 008/004ex 096%,100% 65how 059m 020/010ex 100%,100% 44how 039m 004/002ex 082%,100% 45how 002m 006/003ex 082%
+:2:pedra                                         ,100% 45how 099m 067/032ex 082%,100% 44how 063m 016/008ex 082%,100% 44how 112m 022/011ex 082%,100% 35how 093m 056/028ex 082%,100% 55how 045m 026/013ex 096%,100% 55how 090m 030/015ex 096%,100% 55how 051m 018/009ex 096%,100% 54how 053m 018/009ex 096%,100% 55how 049m 049/024ex 096%,100% 55how 049m 036/018ex 096%,100% 45how 034m 016/008ex 082%,100% 45how 072m 002/001ex 082%,100% 55how 058m 020/010ex 096%,100% 65how 033m 011/005ex 100%,100% 55how 024m 004/002ex 096%,100% 55how 051m 018/009ex 096%,100% 45how 010m 004/002ex 082%,000% 00how 227m 054/027ex 000%,100% 34how 115m 026/000ex 082%,100% 33how 147m 026/013ex 045%,100% 44how 039m 006/003ex 082%,100% 45how 057m 004/002ex 082%,000% 00how 000m 000/000ex 000%,100% 55how 002m 002/001ex 096%,100% 44how 036m 006/003ex 082%,100% 55how 020m 006/003ex 096%,                           ---,100% 45how 129m 020/010ex 082%,100% 64how 114m 018/009ex 096%,100% 55how 040m 018/009ex 096%,100% 44how 108m 012/006ex 082%,100% 55how 066m 024/012ex 096%,100% 55how 028m 016/008ex 096%,100% 65how 022m 008/004ex 100%,100% 44how 015m 008/004ex 082%,100% 65how 028m 020/010ex 100%
+:2:casais                                        ,100% 35how 077m 036/018ex 082%,000% 00how 045m 022/011ex 000%,100% 34how 049m 008/004ex 082%,000% 00how 056m 026/013ex 000%,100% 55how 026m 022/011ex 096%,100% 55how 072m 034/017ex 096%,100% 55how 124m 054/027ex 096%,100% 55how 021m 008/004ex 096%,100% 55how 042m 020/010ex 096%,100% 55how 015m 006/003ex 096%,100% 55how 129m 032/016ex 096%,100% 44how 122m 028/014ex 082%,100% 55how 037m 015/006ex 096%,100% 65how 063m 031/015ex 100%,100% 55how 019m 004/002ex 096%,100% 55how 103m 040/020ex 096%,100% 45how 008m 004/002ex 082%,100% 54how 056m 018/009ex 096%,100% 45how 051m 024/012ex 082%,100% 23how 125m 028/014ex 045%,100% 44how 025m 004/002ex 082%,100% 45how 083m 024/012ex 082%,000% 00how 000m 000/000ex 000%,100% 55how 002m 002/001ex 096%,100% 34how 019m 012/006ex 082%,100% 55how 046m 014/007ex 096%,                           ---,100% 55how 048m 004/002ex 096%,100% 53how 039m 008/004ex 075%,100% 45how 067m 020/010ex 082%,100% 32how 124m 012/006ex 012%,100% 55how 158m 086/043ex 096%,100% 55how 059m 032/016ex 096%,100% 54how 005m 008/004ex 096%,100% 44how 033m 016/008ex 082%,100% 55how 037m 012/006ex 096%
+:3:baruel                                        ,100% 54how 189m 036/018ex 096%,000% 00how 000m 000/000ex 000%,100% 44how 095m 044/022ex 082%,                           ---,100% 45how 146m 062/031ex 082%,100% 55how 182m 062/031ex 096%,100% 55how 186m 041/020ex 096%,100% 53how 082m 012/006ex 075%,100% 55how 495m 146/073ex 096%,100% 55how 166m 046/023ex 096%,100% 55how 512m 480/229ex 096%,100% 54how 243m 060/030ex 096%,100% 55how 175m 032/016ex 096%,100% 65how 105m 051/025ex 100%,100% 54how 028m 016/008ex 096%,100% 55how 155m 038/019ex 096%,100% 44how 089m 040/020ex 082%,100% 44how 126m 026/013ex 082%,100% 24how 299m 046/023ex 082%,100% 43how 037m 016/008ex 045%,100% 43how 066m 028/014ex 045%,100% 44how 103m 052/026ex 082%,000% 00how 000m 000/000ex 000%,100% 54how 001m 002/001ex 096%,000% 00how 000m 000/000ex 000%,100% 45how 077m 008/004ex 082%,                           ---,100% 34how 062m 026/013ex 082%,100% 53how 172m 054/027ex 075%,100% 45how 112m 002/001ex 082%,000% 00how 004m 004/002ex 000%,000% 00how 112m 046/023ex 000%,100% 55how 096m 040/020ex 096%,100% 34how 049m 044/022ex 082%,100% 24how 083m 042/021ex 082%,100% 45how 103m 042/021ex 082%
*:4:gomos                                         ,100% 45how 015m 002/001ex 082%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,100% 45how 130m 026/013ex 082%,100% 55how 015m 010/005ex 096%,000% 00how 002m 002/001ex 000%,100% 55how 016m 004/002ex 096%,100% 23how 085m 018/009ex 045%,100% 45how 035m 004/002ex 082%,100% 45how 084m 100/048ex 082%,100% 64how 166m 034/017ex 096%,100% 45how 102m 011/005ex 082%,100% 65how 059m 050/025ex 100%,100% 55how 070m 012/006ex 096%,100% 55how 116m 031/015ex 096%,100% 33how 067m 024/012ex 045%,                           ---,100% 24how 383m 122/061ex 082%,                           ---,000% 00how 000m 000/000ex 000%,100% 44how 200m 024/012ex 082%,                           ---,100% 65how 001m 002/001ex 100%,000% 00how 003m 000/000ex 000%,100% 55how 135m 020/010ex 096%,                           ---,000% 00how 041m 004/002ex 000%,100% 53how 059m 022/011ex 075%,100% 45how 059m 010/005ex 082%,000% 00how 000m 000/000ex 000%,                           ---,100% 55how 071m 042/021ex 096%,000% 00how 000m 000/000ex 000%,100% 24how 046m 004/002ex 082%,000% 00how 000m 000/000ex 000%
=:1:análise-otimizando-resoluções=================,                           072,                           000,                           085,                           082,                           093,                           091,                           075,                           096,                           113,                           097,                           105,                           094,                           096,                           121,                           016,                           083,                           058,                           014,                           073,                           011,                           060,                           097,                           000,                           085,                           000,                           096,                           000,                           088,                           109,                           092,                           081,                           000,                           102,                           075,                           066,                           101
+:2:analise                                       ,100% 65how 006m 000/000ex 100%,                           ---,                           ---,100% 65how 001m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,100% 55how 000m 000/000ex 096%,100% 55how 000m 000/000ex 096%,100% 55how 000m 000/000ex 096%,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 002m 000/000ex 100%,100% 65how 000m 000/000ex 100%,000% 65how 000m 000/000ex 000%,                           ---,100% 65how 000m 000/000ex 100%,100% 55how 000m 000/000ex 096%,                           ---,100% 55how 000m 000/000ex 096%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 55how 000m 000/000ex 096%,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 54how 000m 000/000ex 096%,                           ---,000% 54how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 44how 000m 000/000ex 082%,100% 65how 000m 000/000ex 100%
