SIMPLE                                 ,                 CamilaS-coder,                       Glaubel,                     KauaDev20,                   Lazzure-ufc,                    Lucas-Olii,                   Luismbelo79,                      Luiszszz,              Matheus-Mendes72,                        Nayyra,                   Nycolas6002,            PedroHenriqueVidal,                    SuRaquel05,                VicenteSilva05,                ViniDuarte1111,                       ceci097,                   devjoaoluis,                 felipeufc2025,                  joseluis1100,                    pepe123uyt,                       ryanlbb,                ryanlbpimentel,                  spacercoding,                     tiago-ufc,                       v1n1-03,                    wenfurnas1,                       yuri865,                         zBcxz
=:1:missão-operações===================,                           129,                           130,                           120,                           133,                           070,                           114,                           122,                           132,                           113,                           121,                           133,                           116,                           132,                           132,                           127,                           125,                           002,                           129,                           130,                           131,                           133,                           131,                           133,                           130,                           133,                           102,                           133
+:1:tres                               ,100% 55how 133m 044/022ex 096%,100% 65how 078m 044/022ex 100%,100% 00how 127m 014/007ex 000%,100% 65how 126m 014/007ex 100%,000% 00how 049m 095/031ex 000%,100% 55how 341m 105/044ex 096%,000% 65how 111m 039/019ex 000%,100% 65how 160m 046/023ex 100%,100% 65how 034m 004/002ex 100%,100% 65how 068m 018/009ex 100%,100% 65how 007m 004/002ex 100%,100% 65how 108m 018/007ex 100%,100% 65how 022m 006/003ex 100%,100% 55how 281m 090/045ex 096%,100% 55how 046m 033/015ex 096%,100% 65how 020m 006/003ex 100%,100% 40how 040m 008/004ex 000%,100% 55how 084m 014/004ex 096%,100% 55how 082m 316/069ex 096%,100% 55how 074m 064/032ex 096%,100% 65how 055m 030/015ex 100%,100% 65how 048m 038/010ex 100%,100% 65how 178m 068/034ex 100%,100% 65how 004m 004/001ex 100%,100% 65how 102m 040/017ex 100%,100% 55how 266m 054/027ex 096%,100% 65how 045m 025/011ex 100%
+:1:resto                              ,100% 55how 115m 060/030ex 096%,100% 55how 043m 061/030ex 096%,100% 65how 013m 002/001ex 100%,100% 65how 092m 030/015ex 100%,100% 32how 026m 004/002ex 012%,100% 55how 176m 028/014ex 096%,100% 65how 012m 009/004ex 100%,100% 55how 036m 020/009ex 096%,100% 44how 115m 055/025ex 082%,100% 55how 011m 004/002ex 096%,100% 65how 031m 010/005ex 100%,100% 45how 000m 000/000ex 082%,100% 64how 024m 012/006ex 096%,100% 55how 089m 047/023ex 096%,100% 55how 191m 040/020ex 096%,100% 65how 014m 014/007ex 100%,100% 41how 010m 014/007ex 002%,100% 55how 003m 004/002ex 096%,100% 65how 037m 020/010ex 100%,100% 65how 024m 016/008ex 100%,100% 65how 032m 010/005ex 100%,100% 65how 015m 022/011ex 100%,100% 65how 094m 022/011ex 100%,100% 55how 003m 004/002ex 096%,100% 65how 035m 008/004ex 100%,100% 55how 048m 031/013ex 096%,100% 65how 029m 106/025ex 100%
+:1:media                              ,100% 55how 021m 014/007ex 096%,100% 55how 005m 006/003ex 096%,100% 65how 027m 012/006ex 100%,100% 65how 019m 012/006ex 100%,100% 22how 024m 034/017ex 012%,100% 55how 177m 066/033ex 096%,100% 65how 016m 009/004ex 100%,100% 55how 041m 014/007ex 096%,100% 45how 057m 048/024ex 082%,100% 55how 021m 006/003ex 096%,100% 65how 027m 022/010ex 100%,100% 45how 007m 010/005ex 082%,100% 65how 011m 004/002ex 100%,100% 65how 116m 024/009ex 100%,100% 55how 086m 064/029ex 096%,100% 65how 027m 012/006ex 100%,100% 32how 016m 018/009ex 012%,100% 55how 003m 004/002ex 096%,100% 55how 010m 010/005ex 096%,100% 55how 036m 034/017ex 096%,100% 65how 010m 014/007ex 100%,100% 45how 029m 004/002ex 082%,100% 65how 016m 016/008ex 100%,100% 55how 009m 004/002ex 096%,100% 65how 038m 016/008ex 100%,100% 55how 040m 064/031ex 096%,100% 65how 067m 067/033ex 100%
+:1:sobrou                             ,100% 55how 091m 052/026ex 096%,100% 55how 075m 111/048ex 096%,100% 65how 021m 010/005ex 100%,100% 65how 011m 010/005ex 100%,080% 33how 074m 052/026ex 022%,100% 44how 411m 096/048ex 082%,100% 65how 010m 010/005ex 100%,100% 55how 131m 032/016ex 096%,100% 55how 036m 018/009ex 096%,100% 55how 031m 004/002ex 096%,100% 65how 030m 004/002ex 100%,100% 45how 048m 008/004ex 082%,100% 65how 022m 016/008ex 100%,100% 65how 021m 012/006ex 100%,090% 54how 288m 098/049ex 092%,100% 35how 029m 020/010ex 082%,100% 41how 024m 012/006ex 002%,100% 55how 007m 004/002ex 096%,090% 65how 261m 093/039ex 099%,100% 65how 068m 028/014ex 100%,100% 65how 013m 020/010ex 100%,100% 65how 020m 006/003ex 100%,100% 65how 052m 006/003ex 100%,100% 55how 010m 006/003ex 096%,100% 65how 025m 010/005ex 100%,100% 55how 098m 095/042ex 096%,100% 65how 039m 037/017ex 100%
+:1:segundos                           ,100% 55how 023m 014/007ex 096%,100% 55how 036m 032/016ex 096%,100% 55how 015m 010/005ex 096%,100% 65how 005m 006/003ex 100%,050% 33how 037m 032/016ex 005%,100% 35how 519m 087/043ex 082%,100% 65how 007m 005/002ex 100%,100% 65how 053m 010/005ex 100%,100% 44how 096m 040/020ex 082%,100% 55how 011m 004/002ex 096%,100% 65how 006m 004/002ex 100%,100% 45how 046m 020/010ex 082%,100% 65how 045m 014/007ex 100%,100% 65how 048m 038/019ex 100%,100% 55how 180m 066/030ex 096%,100% 55how 008m 004/002ex 096%,100% 30how 125m 028/014ex 000%,100% 55how 013m 004/002ex 096%,100% 55how 030m 014/007ex 096%,100% 65how 132m 010/005ex 100%,100% 65how 011m 004/002ex 100%,100% 55how 029m 030/015ex 096%,100% 65how 030m 012/006ex 100%,100% 55how 021m 004/002ex 096%,100% 65how 060m 013/005ex 100%,100% 54how 077m 018/009ex 096%,100% 65how 055m 050/025ex 100%
+:2:celsius                            ,100% 55how 077m 130/061ex 096%,100% 55how 006m 008/004ex 096%,100% 55how 017m 006/003ex 096%,100% 65how 003m 004/002ex 100%,100% 45how 011m 016/008ex 082%,100% 45how 103m 012/006ex 082%,100% 65how 004m 008/004ex 100%,100% 65how 008m 006/003ex 100%,100% 25how 024m 012/006ex 082%,100% 55how 008m 004/002ex 096%,100% 65how 005m 004/002ex 100%,100% 65how 023m 002/001ex 100%,100% 65how 031m 012/006ex 100%,100% 65how 035m 030/015ex 100%,100% 44how 057m 010/005ex 082%,100% 55how 012m 008/004ex 096%,100% 30how 069m 018/009ex 000%,100% 55how 011m 006/003ex 096%,100% 65how 008m 002/001ex 100%,100% 65how 099m 008/004ex 100%,100% 65how 012m 018/009ex 100%,100% 65how 006m 012/006ex 100%,100% 65how 012m 014/007ex 100%,100% 65how 002m 002/001ex 100%,100% 65how 051m 010/005ex 100%,100% 44how 060m 034/016ex 082%,100% 65how 017m 015/006ex 100%
+:2:pintando                           ,100% 55how 017m 004/002ex 096%,100% 55how 001m 008/004ex 096%,100% 55how 018m 008/004ex 096%,100% 65how 003m 004/002ex 100%,100% 34how 023m 030/015ex 082%,100% 35how 086m 010/005ex 082%,100% 65how 005m 005/002ex 100%,100% 65how 006m 004/002ex 100%,100% 45how 016m 002/001ex 082%,100% 45how 013m 004/002ex 082%,100% 65how 007m 004/002ex 100%,100% 45how 000m 004/002ex 082%,100% 65how 039m 004/002ex 100%,100% 65how 007m 010/005ex 100%,100% 65how 045m 012/006ex 100%,100% 45how 018m 004/002ex 082%,100% 30how 069m 022/011ex 000%,100% 55how 004m 004/002ex 096%,100% 55how 070m 048/023ex 096%,100% 55how 048m 008/004ex 096%,100% 65how 030m 042/021ex 100%,100% 65how 009m 006/003ex 100%,100% 65how 011m 006/003ex 100%,100% 55how 003m 002/001ex 096%,100% 65how 036m 004/002ex 100%,100% 24how 190m 080/039ex 082%,100% 65how 025m 026/010ex 100%
*:3:bala                               ,100% 55how 038m 020/010ex 096%,100% 65how 020m 044/021ex 100%,100% 65how 008m 002/001ex 100%,100% 65how 003m 004/002ex 100%,100% 34how 036m 022/011ex 082%,100% 34how 092m 026/013ex 082%,100% 65how 002m 004/002ex 100%,100% 65how 006m 008/004ex 100%,100% 45how 016m 013/004ex 082%,100% 45how 009m 004/002ex 082%,100% 65how 006m 004/002ex 100%,100% 35how 030m 018/009ex 082%,100% 65how 028m 004/002ex 100%,100% 65how 082m 074/037ex 100%,100% 65how 056m 002/001ex 100%,100% 55how 034m 010/005ex 096%,100% 30how 057m 016/008ex 000%,100% 55how 003m 004/002ex 096%,100% 55how 010m 006/003ex 096%,100% 65how 007m 002/001ex 100%,100% 65how 017m 016/008ex 100%,100% 65how 015m 014/007ex 100%,100% 65how 087m 020/010ex 100%,100% 54how 012m 004/003ex 096%,100% 65how 024m 004/002ex 100%,070% 14how 138m 066/034ex 036%,100% 65how 047m 068/034ex 100%
=:1:missão-seleção-i===================,                           114,                           000,                           129,                           129,                           090,                           098,                           125,                           129,                           124,                           129,                           129,                           111,                           129,                           118,                           111,                           127,                           003,                           125,                           127,                           127,                           129,                           125,                           129,                           127,                           129,                           108,                           129
