SIMPLE                                 ,CamilaS-coder,Glaubel,KauaDev20,Lazzure-ufc,Lucas-Olii,Luismbelo79,Luiszszz,Matheus-Mendes72,Nayyra,Nycolas6002,PedroHenriqueVidal,SuRaquel05,VicenteSilva05,ViniDuarte1111,ceci097,devjoaoluis,felipeufc2025,joseluis1100,pepe123uyt,ryanlbb,ryanlbpimentel,spacercoding,tiago-ufc,v1n1-03,wenfurnas1,yuri865,zBcxz
=:1:missão-operações===================,          129,    130,      120,        133,       070,        114,     122,             132,   113,        121,               133,       116,           132,           132,    127,        125,          002,         129,       130,    131,           133,         131,      133,    130,       133,    102,  133
=:1:missão-seleção-i===================,          114,    000,      129,        129,       090,        098,     125,             129,   124,        129,               129,       111,           129,           118,    111,        127,          003,         125,       127,    127,           129,         125,      129,    127,       129,    108,  129
=:1:missão-seleção-ii==================,          117,    000,      115,        120,       073,        094,     120,             118,   102,        117,               040,       080,           109,           117,    108,        089,          000,         116,       117,    098,           120,         116,      110,    117,       118,    103,  120
=:1:missão-repetição-i=================,          129,    000,      129,        133,       111,        098,     133,             131,   115,        132,               133,       122,           131,           120,    106,        133,          000,         129,       129,    116,           133,         124,      116,    133,       133,    110,  133
=:1:missão-repetição-ii================,          132,    000,      113,        118,       012,        096,     118,             131,   093,        130,               019,       053,           118,           111,    067,        100,          000,         133,       115,    118,           118,         104,      134,    133,       116,    113,  118
=:1:missão-vetores-i===================,          145,    000,      141,        149,       109,        103,     149,             145,   131,        148,               149,       134,           144,           145,    112,        147,          000,         145,       146,    124,           149,         143,      149,    145,       149,    124,  149
=:1:missão-vetores-ii==================,          085,    000,      125,        128,       037,        095,     128,             074,   081,        113,               085,       049,           054,           121,    056,        057,          000,         124,       048,    124,           128,         123,      128,    115,       043,    107,  112
=:1:missão-vetores-iii=================,          000,    000,      126,        126,       000,        046,     126,             000,   000,        042,               000,       000,           000,           000,    000,        000,          000,         122,       000,    060,           125,         019,      059,    074,       000,    021,  040
=:1:missão-strings=====================,          064,    000,      033,        129,       000,        020,     037,             042,   082,        060,               000,       006,           000,           109,    000,        000,          000,         125,       009,    070,           129,         083,      000,    000,       000,    082,  000
=:1:missão-strings-ii==================,          030,    000,      000,        000,       000,        000,     000,             000,   020,        000,               000,       000,           000,           014,    000,        000,          000,         023,       000,    000,           000,         014,      000,    000,       000,    051,  000
=:1:missão-structs=====================,          003,    000,      000,        000,       000,        000,     000,             000,   079,        000,               000,       000,           000,           000,    000,        000,          000,         021,       027,    021,           000,         068,      000,    000,       000,    018,  000
=:1:missão-dicionários-================,          000,    000,      000,        000,       000,        000,     000,             000,   000,        043,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
=:1:missão-recursão-===================,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
=:1:problemas-operações================,          094,    000,      000,        129,       000,        000,     129,             070,   000,        000,               000,       000,           000,           100,    000,        000,          001,         125,       127,    000,           129,         129,      129,    000,       129,    000,  000
=:1:problemas-seleção==================,          027,    000,      000,        005,       001,        000,     110,             087,   000,        000,               000,       000,           000,           038,    000,        000,          000,         114,       059,    000,           117,         102,      000,    000,       110,    000,  000
=:1:problemas-repetição================,          010,    000,      000,        000,       000,        000,     044,             050,   000,        012,               000,       000,           000,           000,    000,        000,          000,         112,       023,    000,           053,         012,      054,    012,       013,    010,  000
=:1:problemas-vetores-i================,          000,    000,      000,        000,       000,        000,     000,             035,   000,        000,               000,       000,           000,           000,    000,        000,          000,         095,       003,    000,           061,         000,      007,    006,       007,    000,  000
=:1:problemas-vetores-ii===============,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
=:1:problemas-strings-i================,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
=:1:problemas-strings-ii===============,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
=:1:problemas-matrizes-i===============,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         016,       017,    000,           000,         017,      000,    000,       000,    000,  000
=:1:problemas-matrizes-ii==============,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
=:1:problemas-recursão=================,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
=:1:jogos-em-modo-texto================,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         026,       000,    000,           000,         000,      000,    000,       000,    000,  000
=:1:aplicativos-interativos-no-terminal,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
