SIMPLE                                 ,CamilaS-coder,Glaubel,KauaDev20,Lazzure-ufc,Lucas-Olii,Luismbelo79,Luiszszz,Matheus-Mendes72,Nayyra,Nycolas6002,PedroHenriqueVidal,SuRaquel05,VicenteSilva05,ViniDuarte1111,ceci097,devjoaoluis,felipeufc2025,joseluis1100,pepe123uyt,ryanlbb,ryanlbpimentel,spacercoding,tiago-ufc,v1n1-03,wenfurnas1,yuri865,zBcxz
=:1:missão-operações===================,          129,    130,      120,        133,       070,        114,     122,             132,   113,        121,               133,       116,           132,           132,    127,        125,          002,         129,       130,    131,           133,         131,      133,    130,       133,    102,  133
+:1:tres                               ,          096,    100,      000,        100,       000,        096,     000,             100,   100,        100,               100,       100,           100,           096,    096,        100,          000,         096,       096,    096,           100,         100,      100,    100,       100,    096,  100
+:1:resto                              ,          096,    096,      100,        100,       012,        096,     100,             096,   082,        096,               100,       082,           096,           096,    096,        100,          002,         096,       100,    100,           100,         100,      100,    096,       100,    096,  100
+:1:media                              ,          096,    096,      100,        100,       012,        096,     100,             096,   082,        096,               100,       082,           100,           100,    096,        100,          012,         096,       096,    096,           100,         082,      100,    096,       100,    096,  100
+:1:sobrou                             ,          096,    096,      100,        100,       022,        082,     100,             096,   096,        096,               100,       082,           100,           100,    092,        082,          002,         096,       099,    100,           100,         100,      100,    096,       100,    096,  100
+:1:segundos                           ,          096,    096,      096,        100,       005,        082,     100,             100,   082,        096,               100,       082,           100,           100,    096,        096,          000,         096,       096,    100,           100,         096,      100,    096,       100,    096,  100
+:2:celsius                            ,          096,    096,      096,        100,       082,        082,     100,             100,   082,        096,               100,       100,           100,           100,    082,        096,          000,         096,       100,    100,           100,         100,      100,    100,       100,    082,  100
+:2:pintando                           ,          096,    096,      096,        100,       082,        082,     100,             100,   082,        082,               100,       082,           100,           100,    100,        082,          000,         096,       096,    096,           100,         100,      100,    096,       100,    082,  100
*:3:bala                               ,          096,    100,      100,        100,       082,        082,     100,             100,   082,        082,               100,       082,           100,           100,    100,        096,          000,         096,       096,    100,           100,         100,      100,    096,       100,    036,  100
=:1:missão-seleção-i===================,          114,    000,      129,        129,       090,        098,     125,             129,   124,        129,               129,       111,           129,           118,    111,        127,          003,         125,       127,    127,           129,         125,      129,    127,       129,    108,  129
+:1:abs                                ,          096,    000,      096,        100,       070,        082,     000,             100,   082,        100,               100,       082,           096,           100,    096,        082,          000,         096,       096,    100,           100,         082,      100,    096,       100,    082,  100
+:1:max                                ,          096,    000,      100,        100,       082,        082,     100,             100,   100,        100,               100,       096,           100,           100,    096,        096,          002,         096,       100,    096,           100,         100,      100,    100,       100,    082,  100
