A10                       ,grade,   A1,   A1,   A1,    A1,      A1,     A1,      A1,   A1,   A1,   A1,   A1,      A1,      A1,   A1,   A1,    A1,     A1,   A1,   A1,   A1,   A1,     A1
username                  ,grade, tres,resto,media,sobrou,segundos,celsius,pintando, bala,  abs,  max,   ou,positivo,multiplo, nulo, calc,guarda,quantos,impar,round,mumia, meio,jokenpo
tarefas-CamilaS-coder     ,  0.0,000xx,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-Glaubel           ,  0.0,000xx,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-KauaDev20         ,  0.2,100xx,_____,000xx, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-Lazzure-ufc       ,  1.4,100xx,100xx,100xx, 100xx,   100xx,  100xx,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-Lucas-Olii        ,  0.0,_____,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-Luismbelo79       ,  0.0,_____,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-Luiszszz          ,  0.2,100xx,000xx,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-Matheus-Mendes72  ,  0.0,000xx,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-Nayyra            ,  0.0,000xx,_____,000xx, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-Nycolas6002       ,  0.0,_____,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-PedroHenriqueVidal,  0.5,_____,100Aa,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-SuRaquel05        ,  0.0,_____,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-ViniDuarte1111    ,  0.0,_____,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-ceci097           ,  0.0,_____,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-devjoaoluis       ,  0.5,100xx,100xx,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-felipeufc2025     ,  0.0,_____,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-joseluis1100      ,  2.7,100Sa,100Sa,100Sa, 100Sa,   100Sa,  100Sa,   100Sa,100Sa,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-ryanlbb           ,  0.2,100xx,000xx,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-ryanlbpimentel    ,  0.6,100Sa,100xx,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-spacercoding      ,  0.3,100Sa,000xx,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-tiago-ufc         ,  0.0,_____,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-v1n1-03           ,  1.0,100Aa,100Aa,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-wenfurnas1        ,  0.0,_____,_____,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
tarefas-yuri865           ,  0.2,100xx,000xx,_____, _____,   _____,  _____,   _____,_____,_____,_____,_____,   _____,   _____,_____,_____, _____,  _____,_____,_____,_____,_____,  _____
