A10                       ,grade,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1,           A1
username                  ,grade,         tres,        resto,        media,       sobrou,     segundos,      celsius,     pintando,         bala,          abs,          max,           ou,     positivo,     multiplo,         nulo,         calc,       guarda,      quantos,        impar,        round,        mumia,         meio,      jokenpo,,,
tarefas-CamilaS-coder     ,  0.0,000xx021m004e,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-Glaubel           ,  0.0,000xx018m001e,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-KauaDev20         ,  0.2,100xx030m001e,_____________,000xx005m005e,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-Lazzure-ufc       ,  1.4,100xx032m001e,100xx016m003e,100xx001m001e,100xx000m001e,100xx001m001e,100xx000m001e,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-Lucas-Olii        ,  0.0,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-Luismbelo79       ,  0.0,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-Luiszszz          ,  0.2,100xx012m005e,000xx001m001e,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-Matheus-Mendes72  ,  0.0,000xx020m001e,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
tarefas-Nayyra            ,  0.0,000xx028m001e,_____________,000xx007m010e,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________,_____________
